Name, number_stars,  s01,  s02,  s03,  s04,  s05,  s06,  s07,  s08,  s09,  s10,  s11,  s12,  s13,  s14,  s15,  s16,  s17,  s18,  s19,  s20,  s21,  s22,  s23,  s24,  s25,  s26,  s27,  s28,  s29,  s30, s31
Pictor,  3, 2550, 2042, 2020,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Piscis Austrinus, 11, 8728, 8628, 8478, 8386, 8326, 8305, 8431, 8576, 8695, 8720, 8728,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Pisces, 19,  360,  383,  352,  360,  437,  510,  596,  489,  294,  224, 9072, 8969, 8916, 8878, 8852, 8911, 8984, 9004, 8969,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Puppis, 10, 3185, 3045, 2948, 2922, 2773, 2451, 2553, 2878, 3165, 2773,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Pyxis,  3, 3438, 3468, 3518,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Reticulum,  6, 1336, 1355, 1247, 1264, 1175, 1336,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Sculptor,  4,  280, 9016, 8863, 8937,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Scorpius, 17, 5985, 6084, 5953, 6084, 5944, 6084, 6134, 6165, 6241, 6247, 6271, 6380, 6553, 6615, 6580, 6527, 6508,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Scutum,  6, 7063, 6973, 6930, 7119, 7066, 7063,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Serpens,  8, 5867, 5879, 5933, 5867, 5789, 5854, 5892, 5881,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Sextans,  5, 4119, 3981, 3909, 4116, 4119,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Sagitta,  6, 7679, 7635, 7536, 7479, 7536, 7488,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Sagittarius, 43, 7348, 7581, 7337, 7581, 7623, 7650, 7604, 7440, 7234, 7121, 7150, 7217, 7264, 7340, 7342, 7340, 7264, 7217, 7150, 7121, 7039, 7194, 6879, 7194, 7234, 7194, 7039, 6859, 7039, 6913, 6812, 6913, 6859, 6746, 6616, 6746, 6879, 6746, 6859, 6879, 6832
Taurus, 10, 1910, 1457, 1346, 1239, 1030, 1239, 1346, 1373, 1409, 1791,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Telescopium,  2, 6897, 6905,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Triangulum Australe,  5, 6217, 5671, 5771, 5897, 6217,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Triangulum,  4,  622,  664,  544,  622,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Tucana,  7, 8540, 8502, 8848, 9076,   77,  126, 8848,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Ursa Major, 31, 5191, 5054, 4905, 4660, 4554, 4518, 4377, 4375, 4377, 4518, 4335, 4069, 4335, 4033, 4335, 4518, 4554, 4295, 4301, 4660, 4301, 3757, 3323, 3888, 3894, 4295, 3894, 3775, 3594, 3775, 3569,     ,     
Ursa Minor,  8,  424, 6789, 6322, 5903, 5563, 5735, 6116, 5903,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Vela, 10, 3207, 3485, 3734, 3940, 4216, 4167, 4023, 3786, 3634, 3207,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Virgo,  18, 5056, 4826, 4681, 4517, 4681, 4826, 4910, 4932, 4910, 5107, 5264, 5511, 5264, 5107, 5056, 5315, 5338, 5487,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Volans,  8, 2803, 3223, 3347, 3615, 3223, 2736, 3024, 3223,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
Vulpecula,  4, 7306, 7405, 7592, 7653,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
